Date,High,High Change
2024-11-26,346.96,-14.970000000000027
2024-11-27,342.55,-4.409999999999968
2024-11-29,345.45,2.8999999999999773
2024-12-02,360.0,14.550000000000011
2024-12-03,355.69,-4.310000000000002
2024-12-04,358.1,2.410000000000025
2024-12-05,375.43,17.329999999999984
2024-12-06,389.49,14.060000000000002
2024-12-09,404.8,15.310000000000002
2024-12-10,409.73,4.930000000000007
2024-12-11,424.88,15.149999999999977
2024-12-12,429.3,4.420000000000016
2024-12-13,436.3,7.0
2024-12-16,463.19,26.889999999999986
2024-12-17,483.99,20.80000000000001
2024-12-18,488.54,4.550000000000011
2024-12-19,456.36,-32.18000000000001
2024-12-20,447.08,-9.28000000000003
2024-12-23,434.51,-12.569999999999993
2024-12-24,462.78,28.269999999999982
2024-12-26,465.33,2.5500000000000114
2024-12-27,450.0,-15.329999999999984
2024-12-30,427.0,-23.0
2024-12-31,427.93,0.9300000000000068
2025-01-02,392.73,-35.19999999999999
2025-01-03,411.88,19.149999999999977
2025-01-06,426.43,14.550000000000011
